name,location,price,capacity,rating,reviews,description
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about: city skylines tucked in among the trees and seasonal colors."
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"The Atlanta Botanical Garden is a versatile indoor/outdoor wedding venue in Atlanta, GA. An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative. This industrial-meets-chic property has been setting the scene for marital events.
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,"Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces. With high ceilings, ample natural light, historic charm, and plenty of space."
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA, specializing in weddings and events. This brand-new property features stunning architecture, stylish furnishings."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio in Atlanta, GA, is a unique wedding venue built in 1910. That’s more than 100 years ago."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,4,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA. Led by owner Chef Vincent Marra, this talented team would be delighted to create your dream wedding day."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,101,"Book your wedding, wedding reception or rehearsal dinner at Wahoo! and you can relax, enjoy and leave the rest to our outstanding staff."
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,"FORTH Hotel Atlanta is a deluxe wedding venue in Atlanta, GA. This luxury venue in the trendy Old Fourth Ward neighborhood boasts an elegant ballroom and state-of-the-art facilities."
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,"From weddings to rehearsal dinners, bridal events and more, Ecco Buckhead is an enchanting and elegant restaurant wedding venue located in the heart of Atlanta, GA's vibrant Buckhead neighborhood."
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Villa Christina at Hyatt Regency is a hotel and wedding venue located in Atlanta, GA. Surrounded by 83 acres of lovingly landscaped gardens, guests are treated to captivating views of nature’s beauty."
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"Emory Conference Center Hotel is an elegant venue situated in Atlanta, GA, offering versatility and unique surroundings in a convenient location."
Rhodes Hall,"Atlanta, GA",$$,101-150 Guests,4.5,21,"Rhodes Hall is a mansion and wedding venue located in Atlanta, GA. Known as the 'Castle on Peachtree,' Rhodes Hall is Atlanta’s most unique venue for weddings, receptions, showers, and rehearsal dinners."
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,"Situated in the heart of Midtown and lovingly known as ‘The Light on Peachtree,’ The Wimbish House has been the destination for weddings and events for nearly a century."
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,93,"Wow your guests in the Historic DeKalb Courthouse; a premier wedding venue in the heart of charming Decatur. Our elegant Courtroom is clad in white marble, and features 20-foot ceilings."
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,42West Entertainment Group is a wedding and special event venue located in West Atlanta. This stunning gathering space offers a distinct blend of industrial modernity and refined elegance.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,5,7,Tie the knot at Waldorf Astoria Atlanta Buckhead. Located in one of the most prestigious neighborhoods where unforgettable luxury and irresistible Southern charm meet.
